Date time,Minimum Temperature,Maximum Temperature,Temperature,Relative Humidity,Precipitation,Conditions
3/24/2000,38.6,51.6,45.2,77.57,0,Partially cloudy
3/25/2000,41.6,50.1,45.7,79.87,0,Partially cloudy
3/26/2000,38.4,56.6,47.6,74.08,0,Partially cloudy
3/27/2000,43.8,50.4,47.4,82.5,0.05,"Rain, Partially cloudy"
3/28/2000,39.9,49.7,43.9,79.94,0.01,"Rain, Partially cloudy"
3/29/2000,38.5,50.6,44.2,74.4,0.04,"Rain, Partially cloudy"
3/30/2000,38.3,55.1,47.1,70.87,0,Clear
3/31/2000,44.5,58.4,50.6,68.42,0,Partially cloudy
4/1/2000,47.3,58.5,52.5,76.24,0,Partially cloudy
4/2/2000,44.3,59.2,50.8,83.04,0,Clear
4/3/2000,45.2,64.5,52.4,81.04,0,Partially cloudy
4/4/2000,43.2,50.8,47.4,79.44,0.03,"Rain, Partially cloudy"
4/5/2000,42,49.6,45.5,75.05,0.01,"Rain, Partially cloudy"
4/6/2000,40.5,50.4,45.2,78.59,0.08,"Rain, Partially cloudy"
4/7/2000,39.8,59.1,48.4,70.5,0,Partially cloudy
4/8/2000,45.1,58.8,51.3,71.46,0,Partially cloudy
4/9/2000,47.7,55,50.9,81.07,0,Partially cloudy
4/10/2000,45,58.8,51.7,78.98,0,Partially cloudy
4/11/2000,46.5,61.9,54,76.71,0,Partially cloudy
4/12/2000,48.8,62.3,55.9,74.99,0,Partially cloudy
4/13/2000,50.7,56.2,53.3,88.36,0.37,"Rain, Partially cloudy"
4/14/2000,48,53.2,50.9,88.77,0.09,"Rain, Partially cloudy"
4/15/2000,47.7,55.7,50.3,81.51,0.05,"Rain, Partially cloudy"
4/16/2000,46.5,52.1,49.2,83.84,0.01,"Rain, Partially cloudy"
4/17/2000,45.4,59,51.7,72.86,0,Partially cloudy
4/18/2000,44.8,61.9,52.1,67.86,0,Partially cloudy
4/19/2000,48,59.2,52.3,60.33,0,Partially cloudy
4/20/2000,48.2,65.8,55.3,67.18,0,Partially cloudy
4/21/2000,47.5,62.9,54.2,76.37,0.09,"Rain, Partially cloudy"
4/22/2000,45.5,54.3,49.8,76.05,0.03,"Rain, Partially cloudy"
4/23/2000,40.8,50.9,46,79.3,0.14,"Rain, Partially cloudy"
4/24/2000,35.9,53.6,46.1,67.62,0,Partially cloudy
4/25/2000,45.3,52.5,49,80.16,0.32,"Rain, Partially cloudy"
4/26/2000,43.1,58.8,51.9,69.62,0,Partially cloudy
4/27/2000,46.1,55.6,51.9,74.14,0.09,"Rain, Partially cloudy"
4/28/2000,45.6,51.3,48,72.33,0.1,"Rain, Partially cloudy"
4/29/2000,38.9,56.5,49.8,64.12,0,Partially cloudy
4/30/2000,47.8,64.3,54.3,66.48,0,Partially cloudy
5/1/2000,49.6,60.7,54,78.63,0.14,"Rain, Partially cloudy"
5/2/2000,50.8,61.7,55.5,78.5,0.03,"Rain, Partially cloudy"
5/3/2000,48.3,55.2,51.3,74.75,0.26,"Rain, Partially cloudy"
5/4/2000,46.7,54.4,49.1,76.6,0.1,"Rain, Partially cloudy"
5/5/2000,45.8,53.4,48.5,74.53,0.11,"Rain, Partially cloudy"
5/6/2000,42.6,55.9,49.6,67.93,0,Partially cloudy
5/7/2000,45.2,57.7,50.9,67.59,0,Clear
5/8/2000,47.8,53.8,50.5,79.91,0.16,"Rain, Partially cloudy"
5/9/2000,46.3,50.7,47.8,87.42,0.71,"Rain, Partially cloudy"
5/10/2000,44.7,54.4,48.8,75.58,0.17,"Rain, Partially cloudy"
5/11/2000,46.7,59.2,50.8,72.04,0,Partially cloudy
5/12/2000,45.1,57.1,51.7,61.62,0,Partially cloudy
5/13/2000,49.9,59.7,55,69.63,0,Partially cloudy
5/14/2000,52.2,66.6,59.7,63.89,0,Partially cloudy
5/15/2000,53.7,69.6,62.2,63.05,0,Partially cloudy
5/16/2000,52.5,67.1,59.1,70.29,0,Clear
5/17/2000,50.6,58,54.3,76.63,0,Partially cloudy
5/18/2000,50.9,63.7,56.1,81.1,0.39,"Rain, Partially cloudy"
