Date time,Minimum Temperature,Maximum Temperature,Temperature,Relative Humidity,Precipitation,Conditions
4/5/2000,57.2,63.8,59.4,81.79,0,Overcast
4/6/2000,55.4,62.1,58.2,78.88,0,Overcast
4/7/2000,57,66,60.3,81.02,0,Overcast
4/8/2000,57.2,66.9,61.4,86.46,0,Partially cloudy
4/9/2000,53.5,66.2,60.7,79.97,0,Partially cloudy
4/10/2000,56.6,64.9,60.5,73.54,0,Partially cloudy
4/11/2000,57.5,69.6,62.5,80.17,0,Partially cloudy
4/12/2000,57.6,68.1,62.2,83.04,0,Partially cloudy
4/13/2000,55.4,66.9,61.7,80.94,0,Partially cloudy
4/14/2000,50.1,64.7,60.6,75.31,0.04,"Rain, Partially cloudy"
4/15/2000,56.3,64.3,59.7,75.06,0.06,"Rain, Partially cloudy"
4/16/2000,55.7,64.3,59.7,71.32,0,Partially cloudy
4/17/2000,54.1,64.4,58.8,77.11,0.54,"Rain, Overcast"
4/18/2000,56.9,63.6,60,71.14,0.06,"Rain, Partially cloudy"
4/19/2000,54.3,64.7,59.7,73.48,0,Partially cloudy
4/20/2000,55.1,68.4,61.4,79.51,0,Partially cloudy
4/21/2000,56.7,62.7,59.6,82.27,0.03,"Rain, Overcast"
4/22/2000,55.5,63.5,59.4,77.85,0.02,"Rain, Overcast"
4/23/2000,57.5,65.1,60.6,75.79,0,Partially cloudy
4/24/2000,56.9,67,61.8,81.84,0,Partially cloudy
4/25/2000,57.6,72.7,64.4,77.93,0,Clear
4/26/2000,59.7,76.5,65.6,80.88,0.02,"Rain, Partially cloudy"
4/27/2000,59.1,65.2,61.7,82.88,0,Overcast
4/28/2000,59,64.3,61.1,74.67,0,Overcast
4/29/2000,57.2,66.9,62.5,71.05,0,Partially cloudy
4/30/2000,57.6,74.5,66.2,70.41,0,Clear
5/1/2000,58.4,74.1,66,78.9,0,Clear
5/2/2000,60.3,71.2,65.7,80.29,0,Partially cloudy
5/3/2000,62.7,67.7,64.2,81.11,0,Overcast
5/4/2000,61,64.4,62.5,85.09,0,Overcast
5/5/2000,61,65.6,62.6,80.58,0,Overcast
5/6/2000,60.7,69.9,62.9,74.94,0,Partially cloudy
5/7/2000,60.3,67.6,63.9,77.59,0,Overcast
5/8/2000,62.6,68,64.3,81.7,0,Overcast
5/9/2000,61.6,67.7,64.3,83.63,0,Overcast
5/10/2000,60,66.7,62.6,75.58,0,Overcast
5/11/2000,58.4,66.7,62,66.92,0,Partially cloudy
5/12/2000,55.1,75.1,65.2,63.94,0,Clear
5/13/2000,56.9,70.8,64.1,71.54,0,Clear
5/14/2000,57.2,67.5,62.6,76.97,0,Partially cloudy
5/15/2000,57.6,68.7,62.6,78.05,0,Overcast
5/16/2000,59.6,65.4,62.2,69.4,0.01,"Rain, Partially cloudy"
5/17/2000,56.8,66,61.6,73.49,0,Partially cloudy
5/18/2000,59,69.2,63.8,76.65,0,Clear
5/19/2000,60.9,70.6,64.8,83.31,0,Partially cloudy
5/20/2000,59.7,68.4,63.1,87.32,0,Partially cloudy
5/21/2000,58.4,68,62.8,83.24,0,Overcast
5/22/2000,60.8,65.5,62.2,63.74,0,Overcast
5/23/2000,60.7,64.4,62.5,86.65,0,Overcast
5/24/2000,60.9,65.4,63.5,82.21,0,Overcast
5/25/2000,61.5,66.5,63.8,81.56,0.01,"Rain, Overcast"
5/26/2000,61.5,69.5,65.1,75.7,0,Partially cloudy
5/27/2000,62,70.3,66,83.39,0,Partially cloudy
5/28/2000,61,75,66.4,84.13,0,Partially cloudy
5/29/2000,61.4,67,63.6,81.58,0,Overcast
5/30/2000,61.6,67,63.6,78.44,0,Overcast
5/31/2000,61.6,68.5,64,73.47,0,Partially cloudy
6/1/2000,62.6,70.2,65.4,74.04,0,Partially cloudy
6/2/2000,62.6,70.2,66,75.69,0,Partially cloudy
6/3/2000,62.2,72.2,66.9,77.87,0,Partially cloudy
6/4/2000,62.6,72.7,67.3,80.4,0,Partially cloudy
6/5/2000,62.3,71.5,67,77.46,0,Partially cloudy
6/6/2000,59.7,72.8,66.2,78.21,0,Partially cloudy
6/7/2000,62.7,72.9,66.9,77.82,0,Partially cloudy
6/8/2000,61.5,70,65.6,73.13,0,Partially cloudy
6/9/2000,58.5,69.4,63.7,73.81,0,Partially cloudy
6/10/2000,60.3,66.8,63.7,78.54,0,Partially cloudy
6/11/2000,62,68.9,64.5,79.58,0,Partially cloudy
6/12/2000,60.7,71.1,65.9,80.61,0,Partially cloudy
6/13/2000,62.8,68.3,64.9,83.81,0,Partially cloudy
6/14/2000,62.6,66.3,64.3,83.97,0,Partially cloudy
6/15/2000,62.1,71.9,66.4,80.26,0,Partially cloudy
6/16/2000,63.6,70.1,66.1,78.86,0,Overcast
6/17/2000,63.6,69.4,65.6,78.18,0,Overcast
6/18/2000,64.5,70.2,66.4,78.1,0,Overcast
6/19/2000,64.5,71.2,67.7,73.67,0,Partially cloudy
6/20/2000,65.4,72.1,68.3,75.48,0,Partially cloudy
6/21/2000,66.2,71.9,68.2,80.84,0,Overcast
6/22/2000,65,72.8,68.4,78.55,0,Partially cloudy
6/23/2000,64.1,69.4,66,78.05,0,Overcast
6/24/2000,64.8,72.1,68.7,75.77,0,Partially cloudy
6/25/2000,66.7,84.8,72.1,77.34,0,Overcast
6/26/2000,68.8,77.4,72.4,79.63,0,Partially cloudy
6/27/2000,66.2,74.5,69.8,80.76,0,Partially cloudy
6/28/2000,64.8,74.1,68.4,80.54,0,Partially cloudy
6/29/2000,64.5,72.6,68.3,79.06,0,Partially cloudy
6/30/2000,65.4,72,68,77.44,0,Partially cloudy
7/1/2000,65.3,72.1,67.9,76.38,0,Partially cloudy
7/2/2000,64.4,71.3,67.2,77.22,0,Partially cloudy
7/3/2000,66,71.3,68,73.3,0,Partially cloudy
7/4/2000,64.2,70.1,66.4,70.96,0,Partially cloudy
7/5/2000,64.2,70.2,66.9,70.06,0,Partially cloudy
7/6/2000,61.4,71.9,66.7,75.25,0,Partially cloudy
7/7/2000,63.6,70.7,66.8,72.31,0,Partially cloudy
7/8/2000,62.7,69.5,65.5,72.22,0,Partially cloudy
7/9/2000,62.9,70.1,66.4,71.46,0,Partially cloudy
7/10/2000,64.4,70.1,66.8,67.35,0,Partially cloudy
7/11/2000,64.3,70.7,66.7,73.1,0,Overcast
7/12/2000,64.4,72.7,67.7,73.76,0,Partially cloudy
7/13/2000,64.8,72.5,68.3,76.43,0,Overcast
7/14/2000,64.2,72.8,68.3,80.05,0,Partially cloudy
7/15/2000,64.4,75.3,67.7,76.25,0,Partially cloudy
7/16/2000,64.1,71.3,66.9,75.19,0,Partially cloudy
7/17/2000,64.1,73.5,68.9,75.79,0,Partially cloudy
7/18/2000,64.8,76.7,70.4,78.46,0,Clear
7/19/2000,65.9,78.6,70.8,80.12,0,Partially cloudy
7/20/2000,64.4,73.4,67.6,84.08,0,Partially cloudy
7/21/2000,63.8,69.6,66,84.29,0,Partially cloudy
7/22/2000,64.2,75.9,69,79.23,0,Partially cloudy
7/23/2000,67.4,75,70.2,79.56,0,Partially cloudy
7/24/2000,64.8,75.4,69.8,80.97,0,Partially cloudy
7/25/2000,66.2,73.4,69.5,79.78,0,Partially cloudy
7/26/2000,64.8,71.4,67.1,81.79,0,Overcast
7/27/2000,64.3,72.1,68.1,80.42,0,Partially cloudy
7/28/2000,65.3,73.4,68.3,82.67,0,Overcast
7/29/2000,66.6,73.6,69.2,82.48,0,Overcast
7/30/2000,64.8,73.9,68.2,82.74,0,Overcast
7/31/2000,64.4,77.9,70.1,79.25,0,Partially cloudy
8/1/2000,67.4,85.4,73.6,73.9,0,Partially cloudy
8/2/2000,68.2,77.8,72.5,78.4,0,Partially cloudy
8/3/2000,68.7,77.4,71.9,79.87,0,Partially cloudy
8/4/2000,68.8,75.5,71.6,80.94,0,Partially cloudy
8/5/2000,65.4,74.1,69.4,84.7,0,Partially cloudy
8/6/2000,64.5,71.3,67.8,85.51,0,Overcast
8/7/2000,65.4,71.2,67.7,82.73,0,Partially cloudy
8/8/2000,66.2,75.2,70.2,78.69,0,Partially cloudy
8/9/2000,66.2,76.1,70.8,80.06,0,Partially cloudy
8/10/2000,64.5,80.2,72.8,72.36,0,Clear
8/11/2000,66.6,79.9,72.8,76.77,0,Partially cloudy
8/12/2000,66.3,77.6,71.5,81.28,0,Partially cloudy
8/13/2000,66.1,75.8,70.6,81.61,0,Partially cloudy
8/14/2000,66.3,74,70.6,80.55,0,Partially cloudy
8/15/2000,68.8,75.3,72.2,80.04,0,Partially cloudy
8/16/2000,70.4,81.9,74.6,75.97,0,Partially cloudy
8/17/2000,69.9,75.9,72.4,82.29,0,Partially cloudy
8/18/2000,67.9,77.3,72.4,79.52,0,Partially cloudy
8/19/2000,68.1,77.4,72,79.12,0,Partially cloudy
8/20/2000,67.4,74.6,70.9,77.35,0,Partially cloudy
8/21/2000,66.6,72,69.5,73.48,0,Partially cloudy
8/22/2000,66.6,74.5,70,72.43,0,Partially cloudy
8/23/2000,67.4,75.2,71.1,74.08,0,Partially cloudy
8/24/2000,69.8,74.7,71.7,76.29,0,Partially cloudy
8/25/2000,69.8,75.1,71.8,77.89,0,Overcast
8/26/2000,68.1,74.7,70.8,77.81,0,Partially cloudy
8/27/2000,67.4,71.9,69.4,77.55,0,Overcast
8/28/2000,67.4,70.6,68.5,79.58,0,Overcast
8/29/2000,66.1,68.7,67.3,84.6,0.01,"Rain, Overcast"
8/30/2000,65,70.9,67.5,75.55,0,Overcast
8/31/2000,66,73.8,68.8,66.31,0,Overcast
9/1/2000,63.5,73.9,69,67.18,0,Partially cloudy
9/2/2000,63.8,73.9,69.3,68.03,0.01,"Rain, Partially cloudy"
9/3/2000,62.1,74.2,68.6,72.74,0,Partially cloudy
9/4/2000,61.4,73.3,67.8,74.78,0,Clear
9/5/2000,62.8,75.8,69.4,73.77,0,Partially cloudy
9/6/2000,60.7,76.7,69.5,75.92,0,Partially cloudy
9/7/2000,66.2,78.3,71.2,59.06,0,Partially cloudy
9/8/2000,62.6,72.3,68,79.6,0,Partially cloudy
9/9/2000,60.8,72.9,66.1,79.61,0,Partially cloudy
9/10/2000,62,73.6,67.6,78.51,0,Partially cloudy
9/11/2000,62.7,82.7,72.9,59.69,0,Clear
9/12/2000,69.4,86.2,74.3,66.19,0,Partially cloudy
9/13/2000,67.9,78.7,72.4,80.99,0,Partially cloudy
9/14/2000,69.9,76.2,72.1,82.55,0,Partially cloudy
9/15/2000,67.4,75.3,70.9,85.38,0,Partially cloudy
9/16/2000,66.4,80.1,73.3,81.09,0,Clear
